ncbi,genome,description,gid,ncbi_taxonomy
35,gn:T01558,"mfu, 35; Corallococcus macrosporus HW-1 (Myxococcus fulvus HW-1)",mfu,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__Corallococcus;s__Corallococcus macrosporus
204,gn:T07015,"csho, 204; Campylobacter showae ATCC 51146",csho,d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter showae
227,gn:T06565,"pcar, 227; Pseudoalteromonas carrageenovora KCTC 22325",pcar,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas carrageenovora
235,gn:T03461,"babt, 235; Brucella abortus 63 75",babt,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__Brucella;s__Brucella abortus
235,gn:T03462,"babb, 235; Brucella abortus BDW",babb,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__Brucella;s__Brucella abortus
235,gn:T03685,"babs, 235; Brucella abortus BER",babs,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__Brucella;s__Brucella abortus
235,gn:T03686,"babc, 235; Brucella abortus NCTC 10505",babc,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__Brucella;s__Brucella abortus
238,gn:T04744,"emg, 238; Elizabethkingia meningoseptica G4076",emg,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia;s__Elizabethkingia meningoseptica
247,gn:T06196,"ebv, 247; Empedobacter brevis SE1-3",ebv,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Empedobacter;s__Empedobacter brevis
250,gn:T07042,"cgle, 250; Chryseobacterium gleum NCTC11432",cgle,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium gleum
253,gn:T04932,"cio, 253; Chryseobacterium indologenes FDAARGOS_337",cio,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium indologenes
254,gn:T06757,"cil, 254; Chryseobacterium indoltheticum ATCC 27950",cil,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium indoltheticum
259,gn:T06778,"stha, 259; Sphingobacterium thalpophilum NCTC11429",stha,d__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium thalpophilum
264,gn:T03875,"fty, 264; Francisella tularensis subsp. novicida DPG 3A-IS (Francisella tularensis subsp. tularensis WY96)",fty,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Francisellaceae;g__Francisella;s__Francisella tularensis
287,gn:T03789,"paeb, 287; Pseudomonas aeruginosa NCGM 1900",paeb,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa
292,gn:T03302,"bced, 292; Burkholderia cepacia DDS 7H-2",bced,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia cepacia
293,gn:T05851,"bdm, 293; Brevundimonas diminuta ATCC(B) 19146",bdm,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas diminuta
294,gn:T03319,"pfn, 294; Pseudomonas fluorescens UK4",pfn,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas fluorescens
296,gn:T04285,"pfz, 296; Pseudomonas fragi P121",pfz,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas fragi
297,gn:T05630,"htl, 297; Hydrogenophilus thermoluteolus TH-1",htl,d__Bacteria;p__Proteobacteria;c__Hydrogenophilalia;o__Hydrogenophilales;f__Hydrogenophilaceae;g__Hydrogenophilus;s__Hydrogenophilus thermoluteolus
303,gn:T03439,"ppud, 303; Pseudomonas putida DLL-E4",ppud,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas putida
305,gn:T06155,"rsy, 305; Ralstonia solanacearum UY031",rsy,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia solanacearum
316,gn:T03366,"pstu, 316; Pseudomonas stutzeri 19SMN4",pstu,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas stutzeri
316,gn:T03390,"pstt, 316; Pseudomonas stutzeri 28a24",pstt,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas stutzeri
340,gn:T00759,"xca, XANCB, 340; Xanthomonas campestris pv. campestris B100",xca,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas campestris
358,gn:T04213,"ata, 358; Agrobacterium tumefaciens S33",ata,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium tumefaciens
359,gn:T04767,"aro, 359; Agrobacterium rhizogenes K599",aro,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium rhizogenes
375,gn:T03509,"bjp, 375; Bradyrhizobium japonicum E109",bjp,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__Bradyrhizobium japonicum
376,gn:T04337,"brad, 376; Bradyrhizobium sp. BF49",brad,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__
382,gn:T03395,"smer, 382; Sinorhizobium meliloti RMO17, endosymbiont of Medicago orbicularis",smer,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Sinorhizobium;s__Sinorhizobium meliloti
394,gn:T00888,"rhi, RHISN, 394; Sinorhizobium fredii NGR234, endosymbiont of legumes and nonlegumes",rhi,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Sinorhizobium;s__Sinorhizobium fredii
396,gn:T04590,"rpha, 396; Rhizobium phaseoli N261",rpha,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium phaseoli
435,gn:T04735,"aace, 435; Acetobacter aceti TMW2.1153",aace,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Acetobacter;s__Acetobacter aceti
436,gn:T06979,"kha, 436; Komagataeibacter hansenii C110",kha,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Komagataeibacter;s__Komagataeibacter hansenii
449,gn:T03809,"lha, 449; Legionella hackeliae ATCC 35250",lha,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella hackeliae
451,gn:T03810,"tmc, 451; Tatlockia micdadei ATCC 33218",tmc,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Tatlockia;s__Tatlockia micdadei
452,gn:T06800,"lss, 452; Legionella spiritensis NCTC12082",lss,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella spiritensis
454,gn:T05938,"lib, 454; Legionella israelensis Bercovier 4",lib,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella israelensis
456,gn:T06275,"ljr, 456; Legionella jordanis NCTC11533",ljr,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella jordanis
470,gn:T03374,"abk, 470; Acinetobacter baumannii AbH12O-A2",abk,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii
470,gn:T03375,"abau, 470; Acinetobacter baumannii AB030",abau,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii
470,gn:T03376,"abaa, 470; Acinetobacter baumannii AB031",abaa,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii
470,gn:T03377,"abw, 470; Acinetobacter baumannii AC29",abw,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii
471,gn:T05452,"acal, 471; Acinetobacter calcoaceticus CA16",acal,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter calcoaceticus
476,gn:T05535,"mboi, 476; Moraxella bovis Epp63 (300)",mboi,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella;s__Moraxella bovis
478,gn:T07003,"mnn, 478; Moraxella nonliquefaciens FDAARGOS_869",mnn,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella;s__Moraxella nonliquefaciens
480,gn:T03217,"mcs, 480; Moraxella catarrhalis 25240",mcs,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella;s__Moraxella catarrhalis
480,gn:T03381,"mcat, 480; Moraxella catarrhalis 25239",mcat,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella;s__Moraxella catarrhalis
483,gn:T06828,"ncz, 483; Neisseria cinerea NCTC10294",ncz,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__Neisseria cinerea
484,gn:T06171,"nfv, 484; Neisseria flavescens ATCC 13120",nfv,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__Neisseria flavescens
487,gn:T03438,"nmx, 487; Neisseria meningitidis 510612 (serogroup A)",nmx,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__Neisseria meningitidis
488,gn:T04958,"nsi, 488; Neisseria mucosa FDAARGOS_260",nsi,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__Neisseria mucosa
488,gn:T05436,"nmj, 488; Neisseria mucosa ATCC 19696",nmj,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__Neisseria mucosa
492,gn:T06425,"naq, 492; Neisseria animalis ATCC 49930",naq,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__Neisseria animalis
493,gn:T06799,"nci, 493; Neisseria canis NCTC10296",nci,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__Neisseria canis
504,gn:T04151,"kki, 504; Kingella kingae KWG1",kki,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Kingella;s__Kingella kingae
505,gn:T06724,"koa, 505; Kingella oralis DSM 18271",koa,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Kingella;s__Kingella oralis
511,gn:T04157,"afa, 511; Alcaligenes faecalis ZD02",afa,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Alcaligenes;s__Alcaligenes faecalis
511,gn:T05446,"afq, 511; Alcaligenes faecalis JQ135",afq,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Alcaligenes;s__Alcaligenes faecalis
518,gn:T03637,"bbx, 518; Bordetella bronchiseptica S798",bbx,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Bordetella;s__Bordetella bronchiseptica
529,gn:T03251,"oah, 529; Brucella anthropi OAB (Ochrobactrum anthropi OAB)",oah,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__Ochrobactrum;s__Ochrobactrum anthropi
537,gn:T06803,"ifl, 537; Iodobacter fluviatilis PCH194",ifl,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Chromobacteriaceae;g__Iodobacter;s__Iodobacter fluviatilis
539,gn:T05039,"ecor, 539; Eikenella corrodens NCTC10596",ecor,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Eikenella;s__Eikenella corrodens
549,gn:T04739,"pagc, 549; Pantoea agglomerans C410P1",pagc,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Pantoea;s__Pantoea agglomerans
550,gn:T03429,"eclg, 550; Enterobacter cloacae GGT036",eclg,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae
550,gn:T03486,"ecln, 550; Enterobacter cloacae ECNIH4",ecln,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae
550,gn:T03706,"ecli, 550; Enterobacter cloacae ECNIH5",ecli,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae
565,gn:T05790,"ahn, 565; Atlantibacter hermannii NCTC12129",ahn,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Atlantibacter;s__Atlantibacter hermannii
571,gn:T04534,"koc, 571; Klebsiella oxytoca CAV1374",koc,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella oxytoca
571,gn:T04534,"koc, 571; Klebsiella oxytoca CAV1374",koc,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Raoultella;s__Raoultella ornithinolytica
571,gn:T04534,"koc, 571; Klebsiella oxytoca CAV1374",koc,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella michiganensis
571,gn:T04534,"koc, 571; Klebsiella oxytoca CAV1374",koc,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae
571,gn:T04534,"koc, 571; Klebsiella oxytoca CAV1374",koc,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Raoultella;s__Raoultella planticola
571,gn:T04534,"koc, 571; Klebsiella oxytoca CAV1374",koc,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella grimontii
573,gn:T03419,"kpx, 573; Klebsiella pneumoniae PMK1",kpx,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae
573,gn:T03419,"kpx, 573; Klebsiella pneumoniae PMK1",kpx,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella quasipneumoniae
573,gn:T03419,"kpx, 573; Klebsiella pneumoniae PMK1",kpx,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella variicola
573,gn:T03440,"kpb, 573; Klebsiella pneumoniae blaNDM-1",kpb,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae
573,gn:T03440,"kpb, 573; Klebsiella pneumoniae blaNDM-1",kpb,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella quasipneumoniae
573,gn:T03440,"kpb, 573; Klebsiella pneumoniae blaNDM-1",kpb,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella variicola
573,gn:T03746,"kpne, 573; Klebsiella pneumoniae 32192",kpne,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae
573,gn:T03746,"kpne, 573; Klebsiella pneumoniae 32192",kpne,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella quasipneumoniae
573,gn:T03746,"kpne, 573; Klebsiella pneumoniae 32192",kpne,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella variicola
573,gn:T03747,"kpnu, 573; Klebsiella pneumoniae 34618",kpnu,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae
573,gn:T03747,"kpnu, 573; Klebsiella pneumoniae 34618",kpnu,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella quasipneumoniae
573,gn:T03747,"kpnu, 573; Klebsiella pneumoniae 34618",kpnu,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella variicola
573,gn:T05281,"kpnk, 573; Klebsiella pneumoniae Kp52.145",kpnk,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae
573,gn:T05281,"kpnk, 573; Klebsiella pneumoniae Kp52.145",kpnk,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella quasipneumoniae
573,gn:T05281,"kpnk, 573; Klebsiella pneumoniae Kp52.145",kpnk,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella variicola
575,gn:T05298,"rpln, 575; Raoultella planticola GODA",rpln,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Raoultella;s__Raoultella planticola
577,gn:T06046,"rtg, 577; Raoultella terrigena NCTC13098",rtg,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Raoultella;s__Raoultella terrigena
584,gn:T04093,"pvl, 584; Proteus mirabilis CYPV1",pvl,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;s__Proteus mirabilis
585,gn:T05486,"pvg, 585; Proteus vulgaris FDAARGOS_366",pvg,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;s__Proteus vulgaris
587,gn:T04571,"prg, 587; Providencia rettgeri RB151",prg,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Providencia;s__Providencia rettgeri
588,gn:T03282,"psx, 588; Providencia stuartii ATCC 33672",psx,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Providencia;s__Providencia stuartii
588,gn:T04734,"psta, 588; Providencia stuartii BE2467",psta,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Providencia;s__Providencia stuartii
618,gn:T06612,"sof, 618; Serratia odorifera NCTC11214",sof,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia;s__Serratia odorifera
623,gn:T03751,"sft, 623; Shigella flexneri NCTC1 (serotype 2a)",sft,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella flexneri
630,gn:T03643,"yew, 630; Yersinia enterocolitica WA",yew,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Yersinia;s__Yersinia enterocolitica
630,gn:T03644,"yet, 630; Yersinia enterocolitica 2516-87",yet,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Yersinia;s__Yersinia enterocolitica
630,gn:T03890,"yef, 630; Yersinia enterocolitica FORC_002",yef,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Yersinia;s__Yersinia enterocolitica
631,gn:T03608,"yin, 631; Yersinia intermedia Y228",yin,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Yersinia;s__Yersinia intermedia
632,gn:T03716,"ypw, 632; Yersinia pestis PBM19",ypw,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Yersinia;s__Yersinia pestis
632,gn:T03717,"ypj, 632; Yersinia pestis Harbin35",ypj,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Yersinia;s__Yersinia pestis
632,gn:T03718,"ypv, 632; Yersinia pestis Shasta",ypv,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Yersinia;s__Yersinia pestis
